Produk,Kecamatan,Q2018,Q2019,Q2020,Q2021,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12
UREA,Karang Agung Ilir, 0, 629, 2130, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 100, 139, 50, 10, 60, 30, 20, 20, 60, 30, 560, 337, 103, 102, 0, 35, 145, 70, 0, 270, 180, 251, 0, 10, 122, 150, 125, 94, 0, 0, 0, 27, 78, 61 
UREA,Tungkal Ilir, 904, 812, 1624, 2317, 58, 93, 86, 67, 43, 26, 88, 44, 128, 68, 138, 65, 121, 65, 64, 49, 48, 63, 96, 22, 57, 147, 80, 0, 273, 136, 40, 86, 94, 57, 64, 136, 188, 138, 224, 188, 0, 0, 102, 119, 34, 127, 187, 134, 189, 118, 109, 0
UREA,S Marga Telang, 1421, 681, 1741, 900, 0, 150, 242, 0, 76, 12, 0, 8, 0, 128, 358, 447, 0, 0, 0, 105, 90, 85, 114, 28, 8, 124, 110, 17, 491, 304, 140, 80, 0, 55, 36, 16, 165, 70, 20, 230, 37, 79, 23, 22, 0, 148, 0, 9, 71, 94, 147, 222 
UREA,Air Kumbang, 519, 316, 709, 650, 40, 10, 29, 0, 20, 10, 70, 10, 40, 40, 80, 170, 20, 20, 10, 60, 40, 10, 30, 46, 30, 20, 30, 0, 10, 35, 40, 40, 0, 0, 20, 100, 50, 70, 64, 280, 0, 0, 15, 20, 2, 25, 70, 150, 50, 67, 140, 6 
ZA,Rantau Bayur, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ZA,Banyuasin III, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ZA,Makarti Jaya, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ZA,Talang Kelapa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ZA,Betung, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ZA,Sembawa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
